id,title,desc
10110,Mayo Chiki!,"When you've got acute gynophobia, even a pretty girl can be a malady, and as the sparring partner for his family of female wrestlers, Sakamachi Kinjiro has the worst case EVER! Just one touch makes his nose bleed, so school's a bloody nightmare even before Kanade, the Principal's twisted daughter, deduces both Kinjiro's ""feminine issue"" AND that his name contains the sounds ""Chi"" and ""Kin"" back to back. But Chi-Kin's female troubles don't totally redline until a wrong turn in the men's room exposes the secret Subaru, Kanade's manservant, has been hiding in the water closet. (Well, to be fair, we should say WOmanservant.) And if Subaru's cross reactions concerning her cross-dressing aren't enough of a drag, Kinjiro's girl problems also include a haunted martial artist (with ghosts); a cat-eared fetishist (meow!); AND his own sister, whose interest in ""wrestling"" a certain incorrectly packaged butler may result in an unexpected ending! And that's JUST the set up! "
10119,Seitokai Yakuindomo OVA,It is the start of Takatoshi Tsuda's second year as the put-upon vice president of the student council and his sister Kotomi is entering school as a first year. New friends and double entendres are made.
1013,Le Chevalier D'Eon,"18th Century, France. Lia de Beaumont, loyal servant of Versailles and its King, Louis XV, is found dead in the river Seine. Floating inside a coffin, on which the word ""Psalms"" was written, her body had been poisoned by mercury, thus preserving decay. According to the Church, the soul that belonged to a corpse incapable of being consumed by the soil will forever wander in the human realm, unable to go to Heaven."
1015,Full Metal Panic! The Second Raid: Wari to Hima na Sentaichou no Ichinichi,"On her day off, Tessa wakes up in her commander chair. After regaining her composure, she notices that her favorite stuffed animal is missing and thus tries to remember what actually transpired the night before. To do so, she will spend time with all the main characters of the Danaan crew, and eventually recalls the events of the previous night."
10153,Mahou Shoujo Lyrical Nanoha: The Movie 2nd A's,Sequel of Mahou Shoujo Lyrical Nanoha The Movie 1st.
10161,No.6,"In a near future world, after the last great war, most of mankind lives in a handful of city states. There, for the privileged elite, life should be perfect. But for young Shion, the only thing perfect has been the nightmare his life has become since letting a strange boy called Nezumi spend the night in his apartment."
10162,Usagi Drop,"Daikichi Kawachi is a 30-year-old bachelor working a respectable job but otherwise wandering aimlessly through life. When his grandfather suddenly passes away, he returns to the family home to pay his respects. Upon arriving at the house, he meets a mysterious young girl named Rin who, to Daikichi’s astonishment, is his grandfather's illegitimate daughter!"
10163,C: The Money of Soul and Possibility Control,"The Japanese government was rescued from the brink of financial collapse by the Sovereign Wealth Fund. For its citizens, however, life has not improved and unemployment, crime, suicide, and despair are rampant. Kimimaro, raised by his maternal aunt after the disappearance of his father and the death of his mother, is a scholarship student whose only dream is to live a stable, ordinary life. One day he meets a man who offers him a large sum of money if he will allow his ""future"" to be held as collateral. From then on his fate is radically altered as he's drawn into a mysterious realm known as the Financial District, where he must compete in weekly tournaments called ""deals"" in order to keep his money and avoid losing his future. "
10165,Nichijou,
10178,Otona Joshi no Anime Time,A series of animations based on prize-winning short stories for women.
10189,Hunter x Hunter Pilot,"The stand-alone pilot OVA which was shown as part of the ""Jump Super Anime Tour"" of 1998."
102,Aishiteruze Baby★★,"Katakura Kippei is in every way a high school playboy. Spending his days flirting with any female he can see, responsibility is the last thing on his mind. Life takes an unexpected turn for him as one day he returns home to find himself with the fulltime task of caring for his 5-year-old cousin. Kippei's aunt Miyako had disappeared, appearing to have abandoned his cousin, Yuzuyu. With Kippei's lack of responsibility and knowledge of childcare and Yuzuyu's injured heart with the disappearance of her mother, their time together is in for a bumpy ride."
10209,Kore wa Zombie Desu ka? OVA,Two OVAs released with the 8th and 10th volumes of the original novel. They fall chronologically between the first and second seasons.
1021,Kaikan Phrase,"After the break up of their old band, guitarist Yuki & drummer Santa decide to form a new one. They recruit bass player Towa, young guitarist Atsuro, and after much persuasion, vocalist Sakuya. Together they form Lucifer and they struggle to make it in the music business, and also to stay together. As well, they have to deal with personal issues, such as parental objections, and watching their old bands succeed ahead of them. Sakuya is the most troubled band member, as he has to deal with his tragic past, and his relationship with teenaged lyricist Aine."
10216,"Yondemasu yo, Azazel-san. (TV)","Akutabe is a detective who summons devils to solve the troubles of his clients. One day, a low class devil Azazel Atsushi is summoned by Akutabe and is used harshly by him and his assistant Rinko."
10218,Berserk: Ougon Jidaihen I - Haou no Tamago,"Guts, an immensely strong sword-for-hire, has little direction in his life, simply fighting one battle after the next. However, this all changes suddenly when he meets and is bested by Griffith, a beautiful and charismatic young man who leads the Band of the Hawk mercenary army. After Guts joins the Band and the relationship between the two men begins to blossom, Casca, the tough, lone swordswoman in the Band of the Hawk, struggles to accept Guts and the influence he has on the world around her. While the two men begin to fight together, Griffith continues to rise to power, all seemingly in order to reach his mysterious, prophesied goals. What lengths will Guts and Griffith go to in order to reach these goals, and where will fate take the two men? "
1023,Wolf's Rain OVA,"After leaving Jagara's keep, the story concludes as Kiba, Tsume, Hige, Toboe, Blue and Cheza struggle to finish their journey to Rakuen (Paradise), accompanied by the humans Hubb, Cher and Quent. Darcia confronts the protagonists at last. The secrets of his mysterious existence and Cheza's true form are revealed in this finale."
10257,Pretty Rhythm: Aurora Dream,"Prism Stars are performers on the new popular ice show, Prism Show. They are superidols whose techniques, singing and fashion sense are a cut above all others. Aira and Rizumu are two Prism Stars whose goal is to become the best, the Prism Queen; however, the road to success is bumpy."
10271,Gyakkyou Burai Kaiji: Hakairoku-hen,"After the events at the Starside Hotel, Kaiji Itou finds himself living his miserable lifestyle once again. Captured by the Teiai group to which he owes a lot of money, he is thrown into an underground forced labor camp where he must pay off his debt by doing harsh manual work. Kaiji becomes desperate as it is expected that he lives in this hellhole for the next 15 years."
10278,The iDOLM@STER,"THE IDOLM@STER follows 13 girls from the 765 Production Studio, whose sole goals is to become the top idols in the Japanese entertainment industry. Along with the laughs, struggles and tears that are inherently part of this journey, you will cheer for the girls of IDOLM@STER as they climb their way to the top!"
1029,Omoide Poroporo,"Taeko Okajima is a typical ""office lady"" in a big company in a big city. When she takes a sabbatical to the countryside in Yamagata Prefecture, the hometown of her brother-in-law, the journey recalled her memory of her 5th grade year. During her stay in Yamagata, she works hard and happily as a farmer and is surrounded by friendly relatives and villagers, bringing up more memories. Their hospitality makes her to reconsider her choice of life. "
10294,Towa no Quon 1: Utakata no Kaben,"This story follows a boy named Quon and his friends, who are ""Attractors."" Attractors are human beings who have awakened and have supernatural powers. Quon is determined to save them all. But a secret organization is hunting them..."
10298,Kaichou wa Maid-sama!: Goshujinsama to Asonjao♥,Kaichou wa Maid-sama! special that was included on a DVD released with the magazine LaLa.  Features character introductions and voice swapping comedy.
103,Akazukin Chacha,"Akazukin Chacha is the story of a young magical girl (Mahō Shōjo) named Chacha. Living with her guardian in a cottage on Mochi-mochi mountain is Seravi, who is her teacher and also the fictional world's greatest magician. Chacha is clumsy in casting her spells because, throughout the anime, when she summons something, it often turns out to be something that she didn't mean to cast, for example, spiders (kumo) instead of a cloud (also kumo). At times in the anime when she and her friends are in trouble, however, her spells do work. Living on the same mountain is a boy gifted with enormous strength named Riiya. It is described that Riiya came from a family of werewolves who can instantly change into a wolf whenever they want. Quite far from Mochi-mochi mountain lies Urizuri mountain. Dorothy, also a well known magician in her land, lives in a castle on Urizuri mountain. Living with her is Shiine, her student. Shiine is adept when it comes to casting spells. He is a young wizard and most of his knowledge about magic was taught to him by Dorothy."
1030,Heisei Tanuki Gassen Ponpoko,"Faced with the destruction of their habitat due to the growth of Tokyo, a group of tanuki try to defend their homes. They decide to use their transforming talents to try to hold back the new development. Two of them, especially skilled at transforming, are sent to Shikoku to enlist the help of three sages. Meanwhile, the rest of them do their best to disrupt the construction site, at first causing accidents, and then actually haunting the site. However, the humans are very persistent, and soon the tanuki are forced to use more and more extreme measures to save their home."
10321,Uta no☆Prince-sama♪ Maji Love 1000%,"With dreams of becoming a composer and someday writing a song for her favorite idol, Haruka enters the Saotome Academy, a prestigious performing arts school. If successful there, she’ll be able to join the Shining Agency after graduation. However, it won’t be so easy when Haruka is already surrounded by potential idols and composers. On top of that, her homeroom teacher is a current idol, the headmaster was a record-breaking singer, and the academy itself is a chaotic place where anything can happen. Which prince of song will be paired up with Haruka?! Uta no Prince Sama is an exciting, coming-of-age romantic comedy that will be like sweet music to your eyes and ears!"
1033,Sennen Joyuu,"At the turn of the millennium, Ginei Studio's dilapidated buildings are set to be demolished. Ex-employee and filmmaker Genya Tachibana decides to honor this occasion with a commemorative documentary about the company's star actress: Chiyoko Fujiwara, the reclusive sweetheart of Shouwa Era cinema. Having finally obtained permission to interview the retired starlet, an enamored Genya drags along cynical cameraman Kyouji Ida to meet her, ready to put his lifelong idol back in the spotlight once more."
10334,Rurouni Kenshin Recap,This is a summary of episodes 34-56.
1034,Ouritsu Uchuugun: Honneamise no Tsubasa,"Shirotsugh ""Shiro"" Lhadatt may be a cadet in the Kingdom of Honneamise's Royal Space Force (RSF), but he has never been in space before—in fact, nobody has. The RSF is often regarded as a failure both by the country's citizens and a government more interested in precipitating a war with a neighboring country than scientific achievement. Following the funeral of a fellow cadet, an unmotivated Shiro is walking in the city one night, when he bumps into Riquinni Nonderaiko, a young, pious woman, genuinely enthusiastic about the significance of space exploration."
10350,Hakuouki Sekkaroku,This OVA takes place in between episodes 8 and 9 of the first season of Hakuouki.
10357,Jinrui wa Suitai Shimashita,"For years, declining birth rates have forced what's left of the human race to cede more and more territory to other beings who have appeared to take advantage of the emptying ecological niche. Now, only a handful of humans remain among the remnants of civilization and Earth is dominated by faeries —tiny, ten-inch tall creatures of surprising intelligence. But humanity's importance isn't over quite yet, as young Watashi learns as she makes the decision to return to her hometown and assume her grandfather's position as an arbitrator between the races. Unfortunately, the job isn't going to be anywhere near as simple as she expected, and it's going to take a wisdom far beyond her years to achieve her most important mission. "
10378,Shinryaku!? Ika Musume,"The nefarious Squid Girl is back to continue her self-appointed mission to invade the surface world. Or that's what she would do, if she could just stop getting distracted by squidding movies, reading squidly manga, and making friends as only a squid could make them. Squid Girl must overcome not only danger found at every turn, but her own squidly good nature as well. "
10379,Natsume Yuujinchou San,
10389,Momo e no Tegami,"Momo is a young girl who grew up in a big city. However, following the premature loss of her father, she has to move with her mother to the old family house on a remote island. Here, time seems to have stopped: old wooden buildings, holy shrines surrounded by trees, fields painstakingly carved out from steep hills... and no shopping mall. "
10396,Ben-To,"Sato Yo is a high school boy who likes SEGA games. One day, he enters a grocery store to buy some food for dinner. When he tries to take a bento box, he loses consciousness. He comes around to find all the bento sold out. He notices there is a war game going on at grocery stores and players called ""Wolves"" compete for the half-priced bento. Yarizui Sen, the leader of the Half-Pricer Club, forces Yo to join the club and he enters the bento war."
104,Ayashi no Ceres,"Ceres was a tennyo (Celestial maiden) who came down from the heavens to bathe in a stream. She hung her hagoromo (robe) on a tree nearby, which was her key to returning to the heavens. But the robe was stolen and the man who had stolen it forced her to become his wife, thus producing a family full of human and tennyo blood mixed. "
10408,Hotarubi no Mori e,"Intrigued by the tale of a mountain god, six-year-old Hotaru Takegawa loses her way in the ancient forest while visiting her uncle. Exhausted and desperate for help, Hotaru is thrilled to find a masked forest spirit named Gin. She learns the hard way that she should not touch the boy, or he would disappear. In spite of this, Gin leads Hotaru out of the forest and warns her never to return when she promises to come again with a gift."
10444,Digimon Xros Wars: Aku no Death General to Nanatsu no Oukoku,"Returning to the Digital World, Taiki and Shoutmon learn that the Bagra Army has taken it over and reformatted the world to have Seven Kingdoms, each ruled by a general. "
10445,Perfect Day,Original animated music video for SuperCell. 
10448,Rain Town,"Independent animation by Hiroyasu Ishida, the animator of Fumiko no Kokuhaku."
10460,Kimi to Boku.,"The story revolves around four teens—the good-looking twins Yuuta and Yuuki Asaba, the effeminate Shun Matsuoka, and the class head Kaname Tsukahara—who have known each other since early childhood. While they are not necessarily good or bad friends, they continue to hang out well into high school. The half-Japanese transfer student Chizuru Tachibana joins the circle of friends in this comedy about the everyday life of adolescence."
10464,Seitokai no Ichizon Lv.2,"Sugisaki Ken, through diligence and academic excellence, had successfully entered the paradise that is the Hekiyou Private Academy's Student Council. There, he boldly embarks on his plan to create his personal harem with the 4 girls who are the other council members, namely: The incredibly youthful president Sakurano Kurimu; The cool and kindly yet super-sadistic secretary Akaba Chizuru; Tomboyish and hot-blooded vice-president Shiina Minatsu; and The ephemerally beautiful yet complicated treasurer Shiina Mafuyu. While every day since then has been non-stop fun, Graduation Day now looms near. Could this spell the end of their carefree days? "
10469,Sayonara Zetsubou Sensei Special,"A new special episode that was distributed to those who purchase all three Blu-ray box sets of Sayonara Zetsubou Sensei series on January 31, 2012. "
1047,On Your Mark,"In the future, mankind can no longer live on the ground due to intense radiation, both from the sun and from an abandoned nuclear plant. One day, a group of special police raided a religious cult compound, and after a fierce firefight two policemen found a winged mutant girl, with chains on her arms, barely alive. However, government scientists dressed in hazardous material suits immediately intervened and brought her back to a research facility. Realizing they were merely transferring her from one prison to another, those two policemen formulated a daring plan to set her free once and for all. "
10471,Ie Naki Ko Remi Specials,Three unaired episodes that conclude Ie Naki Ko Remi's story.
10479,Beelzebub Specials,Beelzebub specials included in the BD/DVD releases.
10483,"Sengoku Basara Two: Ryuko, Itadaki no Chikai! Atsuki Mirai e Kakeru Tamashii!!",An extra episode included on the 7th DVD.
10495,Yuru Yuri,"After a year in grade school without her childhood friends, first year student Akari Akaza is finally reunited with second years Yui Funami and Kyouko Toshinou at their all-girls' middle school. During the duo's first year, Yui and Kyouko formed the ""Amusement Club"" which occupies the now nonexistent Tea Club's room. Shortly after Akari joins, one of her fellow classmates, Chinatsu Yoshikawa, pays the trio a visit under the impression that they are the Tea Club; it is only once the three girls explain that the Tea Club has been disbanded that they can convince Chinatsu to join the Amusement Club—a group with no purpose other than to provide entertainment for its members."
10497,Hetalia World Series Specials,Extra episodes of Hetalia World Series. Includes:
1050,Bobobo-bo Bo-bobo,Bobobo is a man with the incredible power of hearing the voices of hair and using his own to fight. He uses his power to fight off the Margarita Empire and all of Emperor Tsuru Tsurulina's minions who are stealing the hair off of anyone they find to power up their emperor. 
10500,Ojiisan no Lamp,"A boy finds a strange object while playing hide-and-seek. His grandfather tells him the story of his own youth, and the important role the old lamp played. This story is about the modernization of Japan and the changes that came with it."
10521,Working'!!,Life goes on at the Wagnaria family restaurant as its peculiar employees try to provide a good service despite their individual eccentricities.
10531,Detective Conan Magic File 5: Niigata - Tokyo Omiyage Capriccio,Another Detective Conan Magic File.
10534,Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,"Jealous of Suneo's new robot toy, Nobita asks Doraemon to build him an even better one. Doraemon initially refuses, until Nobita accidentally discovers pieces of a mysterious robot that falls from the sky. After gathering all the robot parts and assembled them together, the giant robot, Zanda Claus, is soon completed. The duo soon learn that the robot is not a mere toy, but a powerful weapon in the fight against the coming Robot Army that is going to attack Earth and enslave the human inhabitants of it. An invasion is near, as a mysterious girl Riruru (リルル, Alternative spelling: Lilulu, Lillele [Doko Demo Doa Scanlations]) shows up, looking for the robot."
10536,Kimi ni Todoke 2nd Season Specials,DVD and BD-Box original animation shorts. 
10568,Kamisama no Memochou,"Narumi Fujishima isn't your typical high school student. He's never really fit in and has become increasingly more isolated from his fellow classmates. But he's not alone, and when Ayaka, the sole member of the Gardening Club, introduces him to the reclusive girl who lives above the ramen shop, Narumi enters a whole new secret world. Alice is a NEET, someone who is Not Employed, being Educated or in Training, but as Narumi quickly discovers, that doesn't mean that she does nothing all day. "
10573,Prince of Tennis: Another Story II - Ano Toki no Bokura,"Episode 1: Shiraishi becomes the captain of Shitenhoji Tennis Club. In order to maintain the club, the members have to invite a new member. They try to attract Zaizen's attention by showing him jokes but Zaizen passes them off."
10588,Persona 4 The Animation,"Yuu Narukami moves to Inaba, a seemingly quiet and ordinary town, where he quickly befriends the clumsy transfer student Yousuke Hanamura, the energetic Chie Satonaka, and the beautiful heiress Yukiko Amagi. Shortly after Yuu's arrival, a chain of mysterious killings begin to occur on foggy days. At the same time, rumors about a strange television channel—dubbed the ""Midnight Channel""—spread like wildfire; when staring into their TV screen at midnight, a person may see their soul mate."
10589,Naruto: Shippuuden Movie 5 - Blood Prison,"After being captured for attempting to assassinate the leader of Kumogakure, the Raikage, and killing Jounin from Kirigakure and Iwagakure, Naruto is imprisoned in Houzukijou, a criminal containment facility also known as the Blood Prison. "
106,Hana yori Dango,"Makino Tsukushi, a girl who comes from a poor family, just wants to get through her two last years at Eitoku Gakuen quietly. But once she makes herself known by standing up for her friend to the F4, the four most popular, powerful, and rich boys at the school, she gets the red card: F4's way of a ""Declaration of War."" But when she doesn't let herself be beaten by them and is starting to fall for one of the F4, Hanazawa Rui, she starts to see that there is more than meets the eye..."
1060,Oruchuban Ebichu,"Ebichu the hamster seems like the perfect house pet: she cleans, shops, cooks, does laundry, and anything to please her master, known only as ""Office Lady"" (OL). Unfortunately, OL and her unfaithful boyfriend, combined with Ebichu's uncontrollable exuberance and love for ice cream, often earn her severe and bloody punishment. However, Ebichu doesn't seem to mind the abuse if she achieves her goal of making her beloved master a little bit happier."
10620,Mirai Nikki (TV),"Lonely high school student, Yukiteru Amano, spends his days writing a diary on his cellphone, while conversing with his two seemingly imaginary friends Deus Ex Machina, who is the god of time and space, and Murmur, the god's servant. Revealing himself to be an actual entity, Deus grants Yukiteru a ""Random Diary,"" which shows highly descriptive entries based on the future and forces him into a bloody battle royale with 11 other holders of similarly powerful future diaries."
10624,Mardock Scramble: The Second Combustion,"Rune Balot is weeping and trying to save both herself and a severely injured Oeufcoque from Shell's assassin Boiled. Luckily for her, Doctor Easter finally shows up in the Humpty Dumpty – a special militarized vehicle made for protecting those in Welfare cases if their lives are threatened. From there they go to Paradise, where the Scramble 09 technology (and Boiled's rebirth) was developed. All of the secrets of the past of Mardock City (and possibly its future) are revealed in this riveting second part of the Mardock Scramble series, upping the stakes and making Balot choose between justice for herself or peace within Paradise instead."
10628,Mahou Sensei Negima! Mou Hitotsu no Sekai Extra: Mahou Shoujo Yue,Mahou Sensei Negima! Mou Hitotsu no Sekai extra episode featuring Yue.
10629,Tibet Inu Monogatari,"After the death of his mother, Tenzin decided to leave town to live with his father in the Tibetan grasslands. Life is tough at first, until one day the young man witnesses a fight between Tibetan guard dogs and a dog with golden hairs outside the pack."
10638,Denpa Onna to Seishun Otoko Special,Episode 13 of Denpa Onna to Seishun Otoko released on Blu-ray & DVD.
1064,Mazinkaiser,"In one of their epic battles, the Mazinger Team suffers a crushing defeat at the hands of Dr. Hell and his minions after Mazinger Z is stolen and its pilot, the legendary Kouji Kabuto, is rendered missing in action. Just when Dr. Hell's second-in-command Baron Ashura uses Mazinger Z against our heroes, Kouji makes a surprise return in Mazinkaiser - an all-new Mazinger with heavier armor and deadlier attacks. "
10643,Gintama: Dai Hanseikai,"Some of the characters get together and talk about ""regrets"" they have after 4 years of anime Gintama. Soon they fight over who gets more screen time. Special of the Gintama Harumatsuri live event."
1065,Touch,"The story centers around three characters—Uesugi Kazuya, his twin older brother Tatsuya, and Asakura Minami. Kazuya is the darling of his town as he's talented, hardworking, and the ace pitcher for his middle school baseball team. Tatsuya is a hopeless slacker who's been living the life of giving up the spotlight to Kazuya, despite the fact that he may be more gifted than him. Minami is the beautiful childhood girlfriend and for all intents, sister from next door who treats both of them as equals. Society largely assumes Kazuya and Minami will become the perfect couple, including Tatsuya. Yet as time progresses, Tatsuya grows to realize that he's willing to sacrifice anything for the sake of his brother, except at the expense of giving up Minami to Kazuya. And thus the story is told of Tatsuya trying to prove himself over his established younger brother, how it affects the relationship between the three, and both brothers' attempts to make Minami's lifelong dreams come true."
1069,Chou Denji Machine Voltes V,"From out of nowhere, a mysterious alien race known as the Boazan Forces has invaded the Earth. A group of individuals specially trained to handle this kind of situation has been unleashed. Kenichi, Ippei, Daijirou, Hiyoshi & Megumi are the pilots of the Choudenji Machine Voltes V (5), Earth's defense against the Boazan and their terrible Beast Warriors. The plot thickens as the Go Brothers discover their true heritage and the truth behind their father's disappearance. Conflicts and mixed emotions hinder the Go Brothers at times but due to their unwavering desire to find their dad, they must go to the place where it all started. With the help of the rebels based on Earth and on the aliens' homeworld, the Voltes Team has another mission, remove the tyrant Zu Zanbajil and liberate the people of Boazan."
10703,Detective Conan OVA 11: A Secret Order from London,"Diana invites Kogorou and Ran to London, but since Conan cannot travel with his invented name, Ai gives him a temporary antidote, letting him travel as Kudou Shin'ichi. Together with Professor Agasa they are on a plane to London."
10711,Plastic Neesan,"Based on Kurii Cha's gag comedy manga, Plastic Nee-san is a very short anime that follows a third-year high school girl who likes building plastic models and the wacky conversations she has with her fellow club members. "
10713,Towa no Quon 2: Konton no Ranbu,The story follows a boy named Quon and others who suddenly wake up with supernatural powers.
10714,Towa no Quon 3: Mugen no Renza,The story follows a boy named Quon and others who suddenly wake up with supernatural powers.
10715,Towa no Quon 4: Guren no Shoushin,The story follows a boy named Quon and others who suddenly wake up with supernatural powers.
10716,Towa no Quon 5: Souzetsu no Raifuku,The story follows a boy named Quon and others who suddenly wake up with supernatural powers.
10717,Towa no Quon 6: Towa no Quon,The story follows a boy named Quon and others who suddenly wake up with supernatural powers.
